week,Hispanic or Latino,"Non-Hispanic White, single race","Non-Hispanic Black, single race","Non-Hispanic Asian, single race","Non-Hispanic, other races and multiple races"
4/26/2020,36.3,29.0,32.8,26.3,38.2
5/3/2020,36.3,29.0,32.8,26.3,38.2
5/10/2020,36.2,27.8,33.0,26.3,38.9
5/17/2020,33.6,26.3,32.7,23.4,31.3
5/24/2020,36.3,27.6,30.2,22.2,38.6
5/31/2020,32.1,29.0,33.8,28.4,44.6
6/7/2020,34.0,29.6,34.6,25.6,40.4
6/14/2020,33.6,30.6,35.8,26.0,37.6
6/21/2020,36.5,29.8,32.6,23.0,39.7
6/28/2020,37.0,31.4,35.1,24.3,45.4
7/5/2020,37.1,32.9,34.0,29.9,43.3
7/12/2020,39.3,34.1,36.9,30.2,46.2
7/19/2020,41.9,34.2,35.8,35.0,43.8
8/23/2020,33.3,31.2,30.8,25.1,37.1
8/30/2020,33.3,31.2,30.8,25.1,37.1
9/6/2020,35.9,30.4,33.0,21.5,42.1
9/13/2020,35.9,30.4,33.0,21.5,42.1
9/20/2020,38.5,31.4,32.0,25.0,39.6
9/27/2020,38.5,31.4,32.0,25.0,39.6
10/4/2020,36.4,31.6,32.2,24.8,39.7
10/11/2020,36.4,31.6,32.2,24.8,39.7
10/18/2020,36.0,31.8,32.9,29.2,41.7
10/25/2020,36.0,31.8,32.9,29.2,41.7
11/1/2020,41.8,35.0,38.3,27.7,42.5
11/8/2020,41.8,35.0,38.3,27.7,42.5
11/15/2020,42.2,36.2,37.2,26.8,47.1
11/22/2020,42.2,36.2,37.2,26.8,47.1
11/29/2020,41.8,34.6,36.9,29.7,44.9
12/6/2020,41.8,34.6,36.9,29.7,44.9
12/13/2020,39.8,35.8,41.1,26.5,44.4
12/20/2020,39.8,35.8,41.1,26.5,44.4
1/10/2021,37.6,35.8,34.8,28.1,41.2
1/17/2021,37.6,35.8,34.8,28.1,41.2
1/24/2021,41.5,34.9,38.0,30.1,36.6
1/31/2021,41.5,34.9,38.0,30.1,36.6
2/7/2021,37.0,32.7,35.2,29.7,39.2
2/14/2021,37.0,32.7,35.2,29.7,39.2
2/21/2021,36.9,32.1,35.5,27.6,42.8
2/28/2021,36.9,32.1,35.5,27.6,42.8
3/7/2021,33.9,30.8,31.4,23.0,42.8
3/14/2021,33.9,30.8,31.4,23.0,42.8
3/21/2021,34.8,28.6,32.2,27.2,35.0
3/28/2021,34.8,28.6,32.2,27.2,35.0
4/18/2021,32.9,25.9,29.5,19.0,36.0
4/25/2021,32.9,25.9,29.5,19.0,36.0
5/2/2021,29.2,25.7,28.7,18.2,34.8
5/9/2021,29.2,25.7,28.7,18.2,34.8
5/16/2021,30.2,24.2,29.3,19.4,33.8
5/23/2021,30.2,24.2,29.3,19.4,33.8
5/30/2021,31.0,23.9,26.9,16.2,35.8
6/6/2021,31.0,23.9,26.9,16.2,35.8
6/13/2021,31.0,24.6,27.1,19.2,39.7
6/20/2021,31.0,24.6,27.1,19.2,39.7
6/27/2021,28.6,22.7,28.3,18.9,37.2
7/4/2021,28.6,22.7,28.3,18.9,37.2
7/25/2021,32.0,25.2,30.1,20.0,38.2
8/1/2021,32.0,25.2,30.1,20.0,38.2
8/8/2021,31.7,25.4,27.7,16.9,35.8
8/15/2021,31.7,25.4,27.7,16.9,35.8
8/22/2021,29.8,27.5,28.5,18.5,35.1
8/29/2021,29.8,27.5,28.5,18.5,35.1
9/5/2021,30.5,28.1,25.6,20.5,35.4
9/12/2021,30.5,28.1,25.6,20.5,35.4
9/19/2021,32.1,26.6,29.1,20.2,39.2
9/26/2021,32.1,26.6,29.1,20.2,39.2
10/3/2021,30.4,26.8,26.2,19.2,35.5
10/10/2021,30.4,26.8,26.2,19.2,35.5
12/5/2021,27.6,26.1,26.7,20.3,37.3
12/12/2021,27.6,26.1,26.7,20.3,37.3
1/2/2022,30.6,27.2,29.5,20.1,34.5
1/9/2022,30.6,27.2,29.5,20.1,34.5
1/30/2022,29.4,26.9,27.0,17.1,38.6
2/6/2022,29.4,26.9,27.0,17.1,38.6
3/6/2022,29.2,27.2,25.7,19.0,37.2
3/13/2022,29.2,27.2,25.7,19.0,37.2
