week,Male,Female
4/26/2020,26.1,35.4
5/3/2020,26.1,35.4
5/10/2020,26.7,33.1
5/17/2020,24.2,32.1
5/24/2020,25.4,33.2
5/31/2020,26.0,35.0
6/7/2020,26.8,35.1
6/14/2020,28.1,35.0
6/21/2020,27.4,34.8
6/28/2020,29.0,36.7
7/5/2020,30.7,37.0
7/12/2020,31.5,39.4
7/19/2020,32.1,39.8
8/23/2020,26.4,36.1
8/30/2020,26.4,36.1
9/6/2020,27.2,35.5
9/13/2020,27.2,35.5
9/20/2020,27.7,37.1
9/27/2020,27.7,37.1
10/4/2020,28.1,36.4
10/11/2020,28.1,36.4
10/18/2020,27.6,37.6
10/25/2020,27.6,37.6
11/1/2020,30.3,41.8
11/8/2020,30.3,41.8
11/15/2020,31.1,42.9
11/22/2020,31.1,42.9
11/29/2020,31.4,40.5
12/6/2020,31.4,40.5
12/13/2020,32.2,41.1
12/20/2020,32.2,41.1
1/10/2021,30.7,40.5
1/17/2021,30.7,40.5
1/24/2021,32.4,39.5
1/31/2021,32.4,39.5
2/7/2021,29.6,37.6
2/14/2021,29.6,37.6
2/21/2021,29.6,36.8
2/28/2021,29.6,36.8
3/7/2021,27.5,35.1
3/14/2021,27.5,35.1
3/21/2021,26.3,33.5
3/28/2021,26.3,33.5
4/18/2021,23.0,31.3
4/25/2021,23.0,31.3
5/2/2021,22.5,30.2
5/9/2021,22.5,30.2
5/16/2021,22.0,29.2
5/23/2021,22.0,29.2
5/30/2021,22.1,28.5
6/6/2021,22.1,28.5
6/13/2021,23.2,28.8
6/20/2021,23.2,28.8
6/27/2021,20.2,28.5
7/4/2021,20.2,28.5
7/25/2021,23.6,30.1
8/1/2021,23.6,30.1
8/8/2021,22.4,30.5
8/15/2021,22.4,30.5
8/22/2021,23.4,32.0
8/29/2021,23.4,32.0
9/5/2021,24.5,31.5
9/12/2021,24.5,31.5
9/19/2021,24.0,31.4
9/26/2021,24.0,31.4
10/3/2021,22.9,31.3
10/10/2021,22.9,31.3
12/5/2021,22.9,29.9
12/12/2021,22.9,29.9
1/2/2022,23.8,31.7
1/9/2022,23.8,31.7
1/30/2022,22.9,31.2
2/6/2022,22.9,31.2
3/6/2022,23.5,30.8
3/13/2022,23.5,30.8
