week,United States
4/26/2020,30.8
5/3/2020,30.8
5/10/2020,30.0
5/17/2020,28.2
5/24/2020,29.4
5/31/2020,30.6
6/7/2020,31.1
6/14/2020,31.7
6/21/2020,31.2
6/28/2020,33.0
7/5/2020,34.0
7/12/2020,35.6
7/19/2020,36.1
8/23/2020,31.4
8/30/2020,31.4
9/6/2020,31.6
9/13/2020,31.6
9/20/2020,32.6
9/27/2020,32.6
10/4/2020,32.4
10/11/2020,32.4
10/18/2020,32.8
10/25/2020,32.8
11/1/2020,36.3
11/8/2020,36.3
11/15/2020,37.2
11/22/2020,37.2
11/29/2020,36.1
12/6/2020,36.1
12/13/2020,36.9
12/20/2020,36.9
1/10/2021,35.8
1/17/2021,35.8
1/24/2021,36.1
1/31/2021,36.1
2/7/2021,33.8
2/14/2021,33.8
2/21/2021,33.4
2/28/2021,33.4
3/7/2021,31.4
3/14/2021,31.4
3/21/2021,30.1
3/28/2021,30.1
4/18/2021,27.4
4/25/2021,27.4
5/2/2021,26.5
5/9/2021,26.5
5/16/2021,25.7
5/23/2021,25.7
5/30/2021,25.4
6/6/2021,25.4
6/13/2021,26.1
6/20/2021,26.1
6/27/2021,24.5
7/4/2021,24.5
7/25/2021,27.0
8/1/2021,27.0
8/8/2021,26.6
8/15/2021,26.6
8/22/2021,27.8
8/29/2021,27.8
9/5/2021,28.1
9/12/2021,28.1
9/19/2021,27.8
9/26/2021,27.8
10/3/2021,27.3
10/10/2021,27.3
12/5/2021,26.5
12/12/2021,26.5
1/2/2022,27.9
1/9/2022,27.9
1/30/2022,27.2
2/6/2022,27.2
3/6/2022,27.3
3/13/2022,27.3
