week,anxiety
1/5/2020,0
1/12/2020,0
1/19/2020,0
1/26/2020,0
2/2/2020,0
2/9/2020,0
2/16/2020,0
2/23/2020,0
3/1/2020,0
3/8/2020,21
3/15/2020,100
3/22/2020,92
3/29/2020,81
4/5/2020,77
4/12/2020,49
4/19/2020,50
4/26/2020,49
5/3/2020,30
5/10/2020,45
5/17/2020,61
5/24/2020,42
5/31/2020,35
6/7/2020,41
6/14/2020,27
6/21/2020,38
6/28/2020,89
7/5/2020,83
7/12/2020,72
7/19/2020,45
7/26/2020,74
8/2/2020,67
8/9/2020,28
8/16/2020,50
8/23/2020,63
8/30/2020,36
9/6/2020,26
9/13/2020,41
9/20/2020,37
9/27/2020,44
10/4/2020,17
10/11/2020,43
10/18/2020,38
10/25/2020,38
11/1/2020,42
11/8/2020,82
11/15/2020,56
11/22/2020,69
11/29/2020,77
12/6/2020,72
12/13/2020,37
12/20/2020,66
12/27/2020,37
1/3/2021,64
1/10/2021,29
1/17/2021,30
1/24/2021,42
1/31/2021,36
2/7/2021,54
2/14/2021,31
2/21/2021,36
2/28/2021,24
3/7/2021,60
3/14/2021,34
3/21/2021,36
3/28/2021,30
4/4/2021,43
4/11/2021,36
4/18/2021,42
4/25/2021,36
5/2/2021,30
5/9/2021,44
5/16/2021,62
5/23/2021,37
5/30/2021,31
6/6/2021,25
6/13/2021,25
6/20/2021,38
6/27/2021,19
7/4/2021,25
7/11/2021,37
7/18/2021,32
7/25/2021,43
8/1/2021,50
8/8/2021,38
8/15/2021,80
8/22/2021,51
8/29/2021,38
9/5/2021,60
9/12/2021,45
9/19/2021,52
9/26/2021,32
10/3/2021,45
10/10/2021,40
10/17/2021,39
10/24/2021,26
10/31/2021,7
11/7/2021,26
11/14/2021,13
11/21/2021,7
11/28/2021,19
12/5/2021,19
12/12/2021,33
12/19/2021,49
12/26/2021,26
1/2/2022,51
1/9/2022,52
1/16/2022,77
1/23/2022,20
1/30/2022,20
2/6/2022,13
2/13/2022,14
2/20/2022,13
2/27/2022,13
3/6/2022,40
3/13/2022,20
3/20/2022,39
3/27/2022,13
4/3/2022,12
4/10/2022,32
4/17/2022,27
4/24/2022,0
